"prob_id","raw_deepseek_ocr","raw_deepseek_ocr2"
"2026_odd_common_1","<|ref|>text<|/ref|><|det|>[[25, 20, 495, 201]]<|/det|>
1. \(9^{\frac{1}{4}} \times 3^{-\frac{1}{2}}\) 의 값은? [2점] 

<|ref|>text<|/ref|><|det|>[[61, 600, 144, 740]]<|/det|>
① 1
② \(\sqrt{3}\)
③ 3
④ \(3\sqrt{3}\)
⑤ 9","<|ref|>text<|/ref|><|det|>[[20, 0, 500, 420]]<|/det|>
1.  \( 9^{\frac{1}{4}} \times 3^{-\frac{1}{2}} \)  의 값은? [2점]

<|ref|>text<|/ref|><|det|>[[58, 641, 144, 777]]<|/det|>
① 1

<|ref|>text<|/ref|><|det|>[[258, 641, 390, 777]]<|/det|>
②  \( \sqrt{3} \) 

<|ref|>text<|/ref|><|det|>[[468, 641, 555, 777]]<|/det|>
③ 3

<|ref|>text<|/ref|><|det|>[[675, 641, 812, 777]]<|/det|>
④  \( 3\sqrt{3} \) 

<|ref|>text<|/ref|><|det|>[[876, 641, 963, 777]]<|/det|>
⑤ 9"
"2026_odd_common_2","<|ref|>text<|/ref|><|det|>[[15, 111, 970, 249]]<|/det|>
2. 함수 \(f(x) = 3x^3 + 4x + 1\)에 대하여 \(\lim_{h \to 0} \frac{f(1+h) - f(1)}{h}\) 의 

<|ref|>text<|/ref|><|det|>[[49, 333, 234, 450]]<|/det|>
묵은? [2점] 

<|ref|>text<|/ref|><|det|>[[49, 666, 135, 767]]<|/det|>
① 7 

<|ref|>text<|/ref|><|det|>[[243, 666, 321, 767]]<|/det|>
② 9 

<|ref|>text<|/ref|><|det|>[[435, 666, 525, 767]]<|/det|>
③ 11 

<|ref|>text<|/ref|><|det|>[[625, 666, 721, 767]]<|/det|>
④ 13 

<|ref|>text<|/ref|><|det|>[[820, 666, 911, 767]]<|/det|>
⑤ 15","<|ref|>text<|/ref|><|det|>[[7, 0, 966, 900]]<|/det|>
2. 합수  \( f(x) = 3x^{3} + 4x + 1 \)  에 대하여  \( \lim_{h \to 0} \frac{f(1 + h) - f(1)}{h} \)  의 값은? [2점]

① 7 ② 9 ③ 11 ④ 13 ⑤ 15"
"2026_odd_common_3","<|ref|>text<|/ref|><|det|>[[15, 50, 950, 200]]<|/det|>
3. 수열 {aₙ}에 따라서 \(\sum_{k=1}^{4}(2a_k - k) = 0\)일 때, \(\sum_{k=1}^{4}a_k\)의 값은? 

<|ref|>text<|/ref|><|det|>[[904, 400, 978, 500]]<|/det|>
[3점] 

<|ref|>text<|/ref|><|det|>[[48, 647, 127, 760]]<|/det|>
① 1 

<|ref|>text<|/ref|><|det|>[[234, 647, 310, 760]]<|/det|>
② 2 

<|ref|>text<|/ref|><|det|>[[419, 647, 495, 760]]<|/det|>
③ 3 

<|ref|>text<|/ref|><|det|>[[603, 647, 680, 760]]<|/det|>
④ 4 

<|ref|>text<|/ref|><|det|>[[785, 647, 864, 760]]<|/det|>
⑤ 5","<|ref|>text<|/ref|><|det|>[[0, 0, 999, 997]]<|/det|>
3. 수열  \( \{a_{n}\} \)  에 대하여  \( \sum_{k=1}^{4}(2a_{k}-k)=0 \)  일 때,  \( \sum_{k=1}^{4}a_{k} \)  의 값은?

[3점]

① 1

② 2

③ 3

④ 4

⑤ 5"
"2026_odd_common_4","<|ref|>sub_title<|/ref|><|det|>[[25, 30, 160, 110]]<|/det|>
4. 함수 

<|ref|>equation<|/ref|><|det|>[[150, 230, 615, 499]]<|/det|>
\[f(x) = \begin{cases} 3x - 2 & (x < 1) \\ x^2 - 3x + a & (x \geq 1) \end{cases}\]

<|ref|>text<|/ref|><|det|>[[64, 603, 961, 696]]<|/det|>
이 실수 전체의 집합에서 연속일 때, 상수 \(a\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[60, 799, 896, 888]]<|/det|>
① 1 ② 2 ③ 3 ④ 4 ⑤ 5","<|ref|>sub_title<|/ref|><|det|>[[21, 28, 156, 111]]<|/det|>
## 4. 합수 

<|ref|>equation<|/ref|><|det|>[[152, 234, 618, 500]]<|/det|>
\[f(x) = \begin{cases} 3x - 2 & (x < 1) \\ x^2 - 3x + a & (x \ge 1) \end{cases}\]

<|ref|>text<|/ref|><|det|>[[63, 604, 967, 700]]<|/det|>
이 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[61, 800, 145, 896]]<|/det|>
① 1 

<|ref|>text<|/ref|><|det|>[[252, 800, 334, 896]]<|/det|>
② 2 

<|ref|>text<|/ref|><|det|>[[444, 800, 526, 896]]<|/det|>
③ 3 

<|ref|>text<|/ref|><|det|>[[634, 800, 715, 896]]<|/det|>
④ 4 

<|ref|>text<|/ref|><|det|>[[824, 800, 906, 896]]<|/det|>
⑤ 5"
"2026_odd_common_5","<|ref|>text<|/ref|><|det|>[[26, 40, 981, 170]]<|/det|>
5. 함수 \(f(x) = (x+2)(2x^2 - x - 2)\) 에 대하여 \(f'(1)\) 의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[60, 600, 140, 710]]<|/det|>
① 6 
② 7 
③ 8 
④ 9 
⑤ 10","<|ref|>text<|/ref|><|det|>[[23, 55, 980, 900]]<|/det|>
5. 함수  \( f(x)=(x+2)(2x^{2}-x-2) \)  에 대하여  \( f'(1) \)  의 값은? [3점]
① 6 ② 7 ③ 8 ④ 9 ⑤ 10"
"2026_odd_common_6","<|ref|>sub_title<|/ref|><|det|>[[28, 30, 500, 120]]<|/det|>
6. 1보다 큰 두 실수 \(a, b\)가 

<|ref|>equation<|/ref|><|det|>[[159, 240, 544, 400]]<|/det|>
\[ \log_a b = 3, \quad \log_3 \frac{b}{a} = \frac{1}{2} \]

<|ref|>text<|/ref|><|det|>[[68, 510, 675, 603]]<|/det|>
을 만족시킬 때, \(\log_9 ab\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[65, 720, 124, 888]]<|/det|>
① \(\frac{3}{8}\) 

<|ref|>text<|/ref|><|det|>[[261, 720, 360, 888]]<|/det|>
② \(\frac{1}{2}\) 

<|ref|>text<|/ref|><|det|>[[455, 720, 504, 888]]<|/det|>
③ \(\frac{5}{8}\) 

<|ref|>text<|/ref|><|det|>[[651, 720, 750, 888]]<|/det|>
④ \(\frac{3}{4}\) 

<|ref|>text<|/ref|><|det|>[[845, 720, 944, 888]]<|/det|>
⑤ \(\frac{7}{8}\)","<|ref|>text<|/ref|><|det|>[[25, 30, 497, 123]]<|/det|>
6. 1보다 큰 두 실수 a, b가 

<|ref|>equation<|/ref|><|det|>[[159, 240, 543, 410]]<|/det|>
\[ \log_a b = 3, \quad \log_3 \frac{b}{a} = \frac{1}{2} \]

<|ref|>text<|/ref|><|det|>[[67, 510, 675, 616]]<|/det|>
을 만족시킬 때, \(\log_g ab\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[66, 730, 945, 900]]<|/det|>
① \(\frac{3}{8}\) ② \(\frac{1}{2}\) ③ \(\frac{5}{8}\) ④ \(\frac{3}{4}\) ⑤ \(\frac{7}{8}\)"
"2026_odd_common_7","<|ref|>text<|/ref|><|det|>[[23, 15, 911, 140]]<|/det|>
7. 두 곡선 \(y = x^2 + 3\), \(y = -\frac{1}{5}x^2 + 3\)과 직선 \(x = 2\)로 둘러싸인 부분의 넓이는? [3점] 

<|ref|>text<|/ref|><|det|>[[61, 188, 976, 260]]<|/det|>
① \(\frac{18}{5}\) ② \(\frac{7}{2}\) ③ \(\frac{17}{5}\) ④ \(\frac{33}{10}\) ⑤ \(\frac{16}{5}\) 

<|ref|>image<|/ref|><|det|>[[164, 345, 970, 970]]<|/det|>","<|ref|>text<|/ref|><|det|>[[18, 21, 911, 145]]<|/det|>
7. 두 곡선  \( y = x^{2} + 3 \) ,  \( y = -\frac{1}{5}x^{2} + 3 \)  과 직선 x = 2로 둘러싸인 부분의 넓이는? [3점]

<|ref|>text<|/ref|><|det|>[[52, 186, 98, 242]]<|/det|>
①

<|ref|>equation<|/ref|><|det|>[[120, 185, 175, 258]]<|/det|>
 \[ \frac{18}{5} \] 

<|ref|>text<|/ref|><|det|>[[255, 187, 300, 256]]<|/det|>
②

<|ref|>equation<|/ref|><|det|>[[314, 186, 359, 258]]<|/det|>
 \[ \frac{7}{2} \] 

<|ref|>text<|/ref|><|det|>[[457, 187, 501, 256]]<|/det|>
③

<|ref|>equation<|/ref|><|det|>[[521, 186, 576, 258]]<|/det|>
 \[ \frac{17}{5} \] 

<|ref|>text<|/ref|><|det|>[[660, 187, 707, 256]]<|/det|>
④

<|ref|>equation<|/ref|><|det|>[[724, 186, 775, 258]]<|/det|>
 \[ \frac{33}{10} \] 

<|ref|>text<|/ref|><|det|>[[866, 187, 911, 256]]<|/det|>
⑤

<|ref|>equation<|/ref|><|det|>[[925, 186, 971, 256]]<|/det|>
 \[ \frac{16}{5} \] 

<|ref|>image<|/ref|><|det|>[[163, 343, 965, 978]]<|/det|>"
"2026_odd_common_8","<|ref|>text<|/ref|><|det|>[[19, 30, 987, 170]]<|/det|>
8. \(\sin\theta + 3\cos\theta = 0\)이고 \(\cos(\pi-\theta) > 0\)일 때, \(\sin\theta\)의 값은? [3점] 

<|ref|>text<|/ref|><|det|>[[55, 333, 209, 520]]<|/det|>
① \(\frac{3\sqrt{10}}{10}\) 

<|ref|>text<|/ref|><|det|>[[362, 333, 504, 520]]<|/det|>
② \(\frac{\sqrt{10}}{5}\) 

<|ref|>text<|/ref|><|det|>[[668, 393, 745, 500]]<|/det|>
③ 0 

<|ref|>text<|/ref|><|det|>[[55, 639, 225, 793]]<|/det|>
④ \(-\frac{\sqrt{10}}{5}\) 

<|ref|>text<|/ref|><|det|>[[362, 639, 545, 793]]<|/det|>
⑤ \(-\frac{3\sqrt{10}}{10}\)","<|ref|>text<|/ref|><|det|>[[15, 0, 988, 999]]<|/det|>
8.  \( \sin\theta + 3\cos\theta = 0 \)  且  \( \cos(\pi - \theta) > 0 \)  且  \( \sin\theta \)  的  \( \alpha \)  是？[3]

①  \( \frac{3\sqrt{10}}{10} \) 

②  \( \frac{\sqrt{10}}{5} \) 

③ 0

④  \( -\frac{\sqrt{10}}{5} \) 

⑤  \( -\frac{3\sqrt{10}}{10} \)"
"2026_odd_common_9","<|ref|>text<|/ref|><|det|>[[42, 33, 540, 140]]<|/det|>
9. 양수 \(a\)에 대하여 함수 \(f(x)\)를 

<|ref|>equation<|/ref|><|det|>[[160, 250, 560, 351]]<|/det|>
\[f(x) = x^3 + 3ax^2 - 9a^2x + 4\]

<|ref|>text<|/ref|><|det|>[[77, 456, 978, 666]]<|/det|>
라 하자. 직선 \(y=5\)가 곡선 \(y=f(x)\)에 접할 때, \(f(2)\)의 값은?

[4점] 

<|ref|>text<|/ref|><|det|>[[74, 770, 885, 870]]<|/det|>
① 11 ② 12 ③ 13 ④ 14 ⑤ 15","<|ref|>text<|/ref|><|det|>[[35, 30, 536, 137]]<|/det|>
9. \(a\) \(f(x)\) \(a\) \(f(x)\) \(a\) \(f(x)\) \(a\) \(f(2)\) \(f(2)\) \(f(2)\) \(f(2)\) \(f(2)\)

<|ref|>equation<|/ref|><|det|>[[157, 250, 555, 365]]<|/det|>
 \[ f(x)=x^{3}+3ax^{2}-9a^{2}x+4 \] 

<|ref|>text<|/ref|><|det|>[[70, 456, 978, 690]]<|/det|>
라 하자. 직선 y=5가 곡선 y=f(x)에 접할 때, f(2)의 값은?
[4점]

<|ref|>text<|/ref|><|det|>[[66, 777, 880, 899]]<|/det|>
① 11 ② 12 ③ 13 ④ 14 ⑤ 15"
"2026_odd_common_10","<|ref|>text<|/ref|><|det|>[[15, 30, 999, 660]]<|/det|>
10. 상수 \(a(a>1)\)에 대하여 곡선 \(y=a^x-2\) 위의 점 중 제1사분면에 있는 점 A를 지나고 \(y\) 축에 평행한 직선이 \(x\) 축과 만나는 점을 B, 곡선 \(y=a^x-2\)의 점근선과 만나는 점을 C라 하자. \(\overline{AB}=\overline{BC}\)이고 삼각형 AOC의 넓이가 8일 때, \(a \times \overline{OB}\)의 값은? (단, 0는 원점이다.) [4점] 

<|ref|>text<|/ref|><|det|>[[45, 750, 150, 920]]<|/det|>
① \(2^{\frac{13}{6}}\) ② \(2^{\frac{7}{3}}\) ③ \(2^{\frac{5}{2}}\) ④ \(2^{\frac{8}{3}}\) ⑤ \(2^{\frac{17}{6}}\)","<|ref|>text<|/ref|><|det|>[[7, 30, 988, 666]]<|/det|>
10. 상수  \( a(a>1) \) 에 대하여 곡선  \( y=a^{x}-2 \)  위의 점 중
제 1사분면에 있는 점 A를 지나고 y축에 평행한 직선이 x축과
만나는 점을 B, 곡선  \( y=a^{x}-2 \) 의 점근선과 만나는 점을 C라
하자.  \( \overline{AB}=\overline{BC} \) 이고 삼각형 AOC의 넓이가 8일 때,
 \( a\times\overline{OB} \) 의 값은? (단, O는 원점이다.) [4점]

<|ref|>text<|/ref|><|det|>[[35, 760, 899, 933]]<|/det|>
①  \( 2^{\frac{13}{6}} \)  ②  \( 2^{\frac{7}{3}} \)  ③  \( 2^{\frac{5}{2}} \)  ④  \( 2^{\frac{8}{3}} \)  ⑤  \( 2^{\frac{17}{6}} \)"
