epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5431,1.87461,3.01085,1.54515,0.00778,0.99291,0.04226,0.01772,1.45188,2.82108,1.25322,0.00014,0.00014,0.00014
2,28.649,1.57366,2.80264,1.40065,0.00783,1,0.8771,0.57903,0.76821,2.5826,0.89433,0.00029406,0.00029406,0.00029406
3,30.9219,0.89096,1.4776,1.0767,0.00783,1,0.73739,0.54343,0.69176,2.61741,0.88185,0.000441784,0.000441784,0.000441784
4,33.0613,0.88182,1.07729,1.01951,0.00739,0.94326,0.04542,0.01783,1.68312,3.11642,1.79306,0.000583172,0.000583172,0.000583172
5,35.2018,0.93256,1.09401,1.09568,0.00206,0.26241,0.00194,0.00035,4.44074,4.21937,11.1824,0.000718224,0.000718224,0.000718224
6,37.3767,0.81831,0.96592,1.02891,0.00445,0.03546,0.00209,0.00058,4.05194,13.6555,17.7154,0.00084694,0.00084694,0.00084694
7,39.4921,0.78141,0.96434,1.06326,0.00173,0.1773,0.00104,0.00022,nan,nan,nan,0.00096932,0.00096932,0.00096932
8,41.5915,0.77852,0.88471,1.04655,0.00383,0.48936,0.00465,0.00156,2.88788,3.56414,5.20453,0.00108536,0.00108536,0.00108536
9,43.5571,0.75382,0.81606,1.01536,0.86616,0.28369,0.70953,0.57056,0.70432,2.17074,1.04074,0.00119507,0.00119507,0.00119507
10,45.5698,0.80253,0.81977,1.00439,0.8236,0.2766,0.74192,0.58911,0.7175,2.17943,1.09982,0.00129844,0.00129844,0.00129844
11,47.6084,0.70628,0.75272,0.97335,0.92825,0.82577,0.94976,0.77789,0.64974,1.81797,1.02624,0.00139548,0.00139548,0.00139548
12,49.6103,0.7432,0.71513,1.02781,0.79243,0.62276,0.76174,0.57341,0.83434,1.90788,1.13233,0.00148618,0.00148618,0.00148618
13,51.5291,0.75418,0.75212,1.01158,0.92941,0.84038,0.92519,0.6809,0.92676,1.43634,1.2286,0.0015248,0.0015248,0.0015248
14,53.5599,0.69211,0.69523,0.9922,0.85059,0.68642,0.82867,0.56669,1.02614,1.42161,1.38302,0.0014852,0.0014852,0.0014852
15,55.6302,0.70302,0.6838,0.98279,0.97293,0.98582,0.9901,0.79541,0.73331,0.81189,1.0101,0.0014456,0.0014456,0.0014456
16,57.6677,0.71629,0.68284,1.02668,0.80043,0.73959,0.83354,0.58552,0.9764,1.16075,1.28424,0.001406,0.001406,0.001406
17,59.6517,0.60822,0.61332,0.96686,0.09354,0.03546,0.00855,0.00117,4.14458,4.09538,5.63845,0.0013664,0.0013664,0.0013664
18,61.8207,0.64561,0.60348,0.96759,0.76143,0.747,0.78656,0.65806,0.73654,1.1536,1.027,0.0013268,0.0013268,0.0013268
19,63.8603,0.5966,0.55869,0.96368,0.86556,0.93617,0.94747,0.76787,0.71781,0.78601,1.02072,0.0012872,0.0012872,0.0012872
